39 d
56 2
56 0 1
55 1 -1
55 0 704
54 1 39
54 0 168568
53 1 -663
53 0 14498520
52 1 6331
52 0 187807764
51 1 -35763
51 0 744637296
50 1 106392
50 0 -6562036
49 1 -18070
49 0 -3840625568
48 1 -1082016
48 0 1058251610
47 1 3516903
47 0 10302034600
46 1 -1278901
46 0 4510900472
45 1 -18277116
45 0 -34331690432
44 1 40532700
44 0 -7097865034
43 1 11574823
43 0 84188024320
42 1 -161476962
42 0 546780176
41 1 168751479
41 0 -154959173464
40 1 230086922
40 0 -12359340101
39 1 -617987682
39 0 327081484064
38 1 137626281
38 0 -49301838300
37 1 928366231
37 0 -576339027576
36 1 -959457720
36 0 284363953068
35 1 -477589944
35 0 735938431592
34 1 1429130144
34 0 -558265224452
33 1 -466517064
33 0 -890017323520
32 1 -963208272
32 0 977815434427
31 1 909996295
31 0 966995235128
30 1 158515461
30 0 -1755072840368
29 1 -607329720
29 0 -345165085024
28 1 197238236
28 0 2218368968890
27 1 179445279
27 0 -911733108784
26 1 -140684622
26 0 -1540031876048
25 1 -6888479
25 0 1628026178168
24 1 37909092
24 0 261124933147
23 1 -8835450
23 0 -1229692547200
22 1 -4070053
22 0 462040501468
21 1 1885689
21 0 441029439032
20 1 44928
20 0 -422841966612
19 1 -111436
19 0 -7261052136
18 1 9516
18 0 163453863300
17 1 740
17 0 -59787354976
16 2 1
16 1 -1486
16 0 -26470898021
15 1 -49
15 0 24009911816
14 1 29
14 0 -1731574864
13 1 246
13 0 -3926472080
12 1 -364
12 0 1333660406
11 1 -221
11 0 158103088
10 1 650
10 0 -172600168
9 1 -221
9 0 25597000
8 1 -364
8 0 5195450
7 1 247
7 0 -2155088
6 1 26
6 0 177164
5 1 -52
5 0 39936
4 1 13
4 0 -9996
3 1 -1
3 0 600
2 0 88
1 0 -16
0 0 1
# param: 3_13_1
# height: 42
