105 m
192 8
192 0 1
191 0 120
190 1 3
190 0 5148
189 2 -1
189 1 1845
189 0 -116096
188 2 -117
188 1 195862
188 0 -23202594
187 2 -7006
187 1 10738323
187 0 -1078254696
186 3 -5
186 2 -274376
186 1 422708505
186 0 -11982418840
185 3 -580
185 2 -7595691
185 1 14377837888
185 0 1161633899400
184 4 1
184 3 -37432
184 2 -148615425
184 1 453570749600
184 0 71901803516373
183 4 112
183 3 -1727136
183 2 -1549411311
183 1 12976059477223
183 0 1922431375768392
182 4 6406
182 3 -61561822
182 2 26806466113
182 1 322456619180123
182 0 13046508958942968
181 4 248876
181 3 -1801578009
181 2 2164031002846
181 1 6772184580020396
181 0 -1077903797073345240
180 5 7
180 4 7346142
180 3 -46115005180
180 2 79719628548873
180 1 117191526976637324
180 0 -54089101264019153970
179 5 768
179 4 174392260
179 3 -1080525863900
179 2 2248426354324924
179 1 1558830536301693367
179 0 -1499316881447058140304
178 5 43196
178 4 3440001721
178 3 -23479927497426
178 2 53746728602959935
178 1 11197199510046807312
178 0 -29472651494710486561356
177 6 -1
177 5 1660247
177 4 57225548231
177 3 -468330193439151
177 2 1133894431439169446
177 1 -164523818656808251595
177 0 -428096842049223322702088
176 6 -105
176 5 49006015
176 4 792613314250
176 3 -8443854200894275
176 2 21551596077192485459
176 1 -9177575615707334292232
176 0 -4298022272782329565393230
175 6 -5670
175 5 1182726193
175 4 8431893646033
175 3 -136090372816494474
175 2 372717012113793724559
175 1 -243883243676773440898134
175 0 -17603093051940104237191752
174 6 -209195
174 5 24291771176
174 4 43978612276451
174 3 -1945489236929986479
174 2 5880155670782555902629
174 1 -4913332344030838748014505
174 0 358643131303140833756715436
173 6 -5914440
173 5 437659078671
173 4 -797077903689922
173 3 -24415239909154289105
173 2 84407379461651053955272
173 1 -82000630233283355162024257
173 0 10233187754302321094420370384
172 6 -136319421
172 5 7096621900799
172 4 -32355869690390223
172 3 -262759882181289907402
172 2 1095581687662715078738552
